siteId,daily_average_flow,weekly_average_flow,monthly_average_flow,daily_Before_COVID,daily_1st_Lockdown,daily_2nd_Lockdown,daily_Post_COVID
GB0751_S,1711.763190184049,11723.420168067227,48106.44827586207,1835.072463768116,1502.9076923076923,1705.3384615384616,1676.2205882352941
GB0751_T,2231.6208588957056,15283.789915966387,62716.24137931035,3067.8840579710145,1064.5384615384614,1699.1076923076923,2328.4411764705883
GB0751_V,2002.8907975460122,13717.27731092437,56288.137931034486,2098.144927536232,858.2,2144.892307692308,2025.4264705882354
GB1101_A,691.9288343558283,4738.8403361344535,19445.58620689655,875.9565217391304,663.2,551.1846153846154,549.8823529411765
GB1101_B,778.6625766871166,5332.857142857143,21883.103448275862,1152.5797101449275,530.0769230769231,458.0615384615385,1015.0588235294117
GB1101_C,597.8049079754601,4094.2100840336134,16800.379310344826,1044.3623188405797,561.7538461538461,391.38461538461536,463.52941176470586
GB1151_S,785.0233128834356,5376.420168067227,22061.862068965518,1033.8985507246377,905.2615384615384,889.8461538461538,383.44117647058823
GB1151_V,1492.3104294478528,10220.44537815126,41939.06896551724,1381.391304347826,1203.4153846153847,1354.7230769230769,1667.9117647058824
GB1271_B,845.8355828220859,5792.90756302521,23770.896551724138,1005.7246376811594,405.89230769230767,681.1538461538462,965.1323529411765
GB1271_D,2210.630674846626,15140.033613445377,62126.34482758621,2745.985507246377,1099.8307692307692,1757.5692307692307,2503.779411764706
GB1321_M,809.2920245398773,5542.63025210084,22743.896551724138,950.5942028985507,463.89230769230767,634.0153846153846,890.1617647058823
GB1351_A,834.5779141104294,5715.806722689075,23454.51724137931,1018.3478260869565,550.6307692307693,579.4153846153846,1002.5441176470588
GB1351_B,747.7018404907975,5120.81512605042,21013.0,984.9130434782609,467.2923076923077,561.123076923077,891.0735294117648
GB1351_C,830.1521472392639,5685.495798319328,23330.137931034482,886.6666666666666,407.2923076923077,691.9384615384615,1005.8676470588235
GB1351_D,987.6834355828221,6764.3865546218485,27757.310344827587,1146.159420289855,562.7076923076924,645.8,1177.8676470588234
GB1371_R,935.5828220858896,6407.563025210084,26293.103448275862,1134.4347826086957,630.9076923076923,644.6769230769231,1126.25
GB1371_S,874.7791411042945,5991.134453781513,24584.310344827587,1159.231884057971,514.5384615384615,539.276923076923,1183.3676470588234
GB1371_T,220.27361963190185,1508.5966386554621,6190.448275862069,296.18840579710144,90.92307692307692,78.13846153846154,430.3235294117647
GB1371_V,136.38159509202453,934.0420168067227,3832.793103448276,181.05797101449275,53.50769230769231,116.27692307692308,175.16176470588235
GB145A_R,1503.396319018405,10296.36974789916,42250.620689655174,1550.2028985507247,801.9692307692308,1091.076923076923,2024.7941176470588
GB1601_A,822.9411042944786,5636.109243697479,23127.48275862069,1008.2173913043479,486.9076923076923,634.9692307692308,969.9264705882352
GB1601_B,762.5582822085889,5222.563025210084,21430.51724137931,958.463768115942,515.2461538461539,557.2615384615384,938.8529411764706
GC0051_E,1032.8736196319019,7073.882352941177,29027.310344827587,1317.608695652174,446.03076923076924,733.5076923076923,1224.5441176470588
GC0051_F,235.22085889570553,1610.9663865546217,6610.517241379311,274.42028985507244,171.09230769230768,207.7846153846154,246.58823529411765
GC0051_G,589.241717791411,4035.563025210084,16559.724137931036,772.8260869565217,512.6923076923077,422.73846153846154,677.4705882352941
GC0151_A,1765.4196319018406,12090.899159663866,49614.379310344826,2412.217391304348,1644.5076923076922,1338.8307692307692,1525.1764705882354
GC0151_B,1055.0503067484663,7225.764705882353,29650.55172413793,1423.0,438.83076923076925,758.1846153846154,1267.6029411764705
GC0151_E,760.6993865030674,5209.83193277311,21378.275862068964,994.6231884057971,565.8615384615384,637.3692307692307,736.8529411764706
GC0271_A,762.4012269938651,5221.487394957983,21426.103448275862,998.6521739130435,444.0769230769231,592.2461538461539,891.0882352941177
GC0271_B,228.1680981595092,1562.6638655462184,6412.310344827586,293.95652173913044,191.90769230769232,169.33846153846153,338.04411764705884
GC0271_C,138.1877300613497,946.4117647058823,3883.551724137931,229.63768115942028,35.15384615384615,66.93846153846154,246.0735294117647
GC0271_D,880.7705521472393,6032.16806722689,24752.689655172413,1051.9855072463768,850.0153846153846,692.4769230769231,971.5441176470588
GC0301_R,368.7276073619632,2525.3193277310925,10362.51724137931,488.7391304347826,317.95384615384614,297.03076923076924,386.6029411764706
GC0301_S,706.4576687116564,4838.344537815126,19853.896551724138,930.9565217391304,447.2923076923077,556.0153846153846,817.3529411764706
GC0301_T,1931.806134969325,13230.436974789916,54290.41379310345,2450.608695652174,1748.0,1478.676923076923,1971.985294117647
GC0321_A,475.5251533742331,3256.747899159664,13363.896551724138,560.7536231884058,356.5846153846154,404.44615384615383,552.75
GC0321_B,791.6269938650307,5421.64705882353,22247.44827586207,1072.2028985507247,512.2307692307693,572.1846153846154,922.7794117647059
GC0321_F,336.3717791411043,2303.72268907563,9453.206896551725,408.72463768115944,261.9846153846154,274.83076923076925,338.1764705882353
GC1301_R,975.1128834355828,6678.294117647059,27404.03448275862,1446.3333333333333,493.44615384615383,644.5846153846154,1065.7205882352941
GC1301_S,817.6147239263804,5599.63025210084,22977.793103448275,1367.9565217391305,518.2615384615384,552.9076923076923,706.5
GC1301_T,780.2503067484663,5343.731092436975,21927.724137931036,881.5217391304348,568.723076923077,708.8923076923077,822.5735294117648
GC1351_A,620.2282208588957,4247.781512605042,17430.55172413793,701.9130434782609,370.2307692307692,468.0769230769231,777.7352941176471
GC1351_B,997.7337423312883,6833.218487394958,28039.758620689656,1265.144927536232,464.15384615384613,696.6461538461539,1205.2058823529412
GC155A_A,1594.5104294478529,10920.38655462185,44811.24137931035,2122.4927536231885,1430.8461538461538,1068.0615384615385,1830.3088235294117
GC1601_P,1184.163190184049,8110.0252100840335,33279.06896551724,1100.9710144927535,922.9538461538461,821.0307692307692,1130.1323529411766
GC1601_R,1718.5766871165645,11770.084033613446,48297.93103448276,2038.5072463768115,783.2461538461539,1335.5384615384614,1999.0588235294117
GC1601_S,1703.6515337423314,11667.865546218487,47878.48275862069,2086.0,884.4615384615385,1305.6307692307691,2020.1911764705883
GC1601_T,1127.9092024539877,7724.756302521008,31698.137931034482,1479.0289855072465,656.9384615384615,827.9230769230769,1112.514705882353
GC1621_A,728.2,4987.252100840336,20464.931034482757,1137.6666666666667,564.2153846153847,604.0769230769231,675.6323529411765
GC1621_B,955.3128834355829,6542.689075630252,26847.58620689655,1424.927536231884,812.4615384615385,723.876923076923,803.0147058823529
GC1621_F,1291.1496932515338,8842.747899159664,36285.75862068965,1745.1014492753623,912.1846153846154,949.6461538461539,1424.9558823529412
GC1631_R,1207.641717791411,8270.823529411764,33938.89655172414,1764.768115942029,878.5076923076923,875.9538461538461,1267.5441176470588
GC1631_W,406.5116564417178,2784.09243697479,11424.379310344828,371.3188405797101,315.9230769230769,324.2153846153846,565.0441176470588
GC168A_R,1903.082208588957,13033.714285714286,53483.1724137931,2170.7971014492755,1029.6307692307691,1520.3692307692309,2243.720588235294
GC168A_S,2056.1521472392637,14082.050420168067,57784.96551724138,2472.231884057971,961.0153846153846,1593.446153846154,2376.529411764706
